Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,30-05-2024 22:25:59,30-05-2024 22:26:14,14.490s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,30-05-2024 22:25:59,30-05-2024 22:26:01,1.532s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,30-05-2024 22:26:00,30-05-2024 22:26:01,1.342s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:01,30-05-2024 22:26:01,0.015s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,30-05-2024 22:26:01,30-05-2024 22:26:02,1.156s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,30-05-2024 22:26:01,30-05-2024 22:26:02,1.105s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:02,30-05-2024 22:26:02,0.002s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,30-05-2024 22:26:02,30-05-2024 22:26:02,0.351s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,30-05-2024 22:26:02,30-05-2024 22:26:02,0.310s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:02,30-05-2024 22:26:02,0.002s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,30-05-2024 22:26:02,30-05-2024 22:26:03,0.192s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.150s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.293s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.249s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.183s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.147s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.282s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.246s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:03,30-05-2024 22:26:03,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,30-05-2024 22:26:03,30-05-2024 22:26:04,0.190s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,30-05-2024 22:26:03,30-05-2024 22:26:04,0.155s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:04,30-05-2024 22:26:04,0.002s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,30-05-2024 22:26:04,30-05-2024 22:26:04,0.282s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,30-05-2024 22:26:04,30-05-2024 22:26:04,0.247s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:26:04,30-05-2024 22:26:04,0.001s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,30-05-2024 22:26:04,30-05-2024 22:26:04,0.527s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""1""]))",,,,30-05-2024 22:26:04,30-05-2024 22:26:04,0.493s,PASSED
