Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,30-05-2024 22:28:37,30-05-2024 22:28:53,15.747s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,30-05-2024 22:28:37,30-05-2024 22:28:40,2.486s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,30-05-2024 22:28:38,30-05-2024 22:28:40,2.152s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:40,30-05-2024 22:28:40,0.017s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,30-05-2024 22:28:40,30-05-2024 22:28:40,0.290s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,30-05-2024 22:28:40,30-05-2024 22:28:40,0.208s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:40,30-05-2024 22:28:40,0.009s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,30-05-2024 22:28:40,30-05-2024 22:28:41,0.387s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,30-05-2024 22:28:40,30-05-2024 22:28:41,0.294s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.003s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.244s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.180s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.309s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.252s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.311s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.257s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:41,30-05-2024 22:28:41,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,30-05-2024 22:28:41,30-05-2024 22:28:42,0.377s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,30-05-2024 22:28:41,30-05-2024 22:28:42,0.294s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:42,30-05-2024 22:28:42,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,30-05-2024 22:28:42,30-05-2024 22:28:42,0.315s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,30-05-2024 22:28:42,30-05-2024 22:28:42,0.264s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:42,30-05-2024 22:28:42,0.003s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,30-05-2024 22:28:42,30-05-2024 22:28:42,0.307s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,30-05-2024 22:28:42,30-05-2024 22:28:42,0.265s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:42,30-05-2024 22:28:42,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,30-05-2024 22:28:42,30-05-2024 22:28:43,0.289s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""1""]))",,,,30-05-2024 22:28:42,30-05-2024 22:28:43,0.250s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:43,30-05-2024 22:28:43,0.003s,PASSED
,,,,,,,
Test Cases/API/getContestTypesByName,,,,30-05-2024 22:28:43,30-05-2024 22:28:43,0.312s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""cool""]))",,,,30-05-2024 22:28:43,30-05-2024 22:28:43,0.220s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:43,30-05-2024 22:28:43,0.002s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupById,,,,30-05-2024 22:28:43,30-05-2024 22:28:43,0.224s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""monster""]))",,,,30-05-2024 22:28:43,30-05-2024 22:28:43,0.173s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:43,30-05-2024 22:28:43,0.003s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupByName,,,,30-05-2024 22:28:43,30-05-2024 22:28:44,1.172s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""1""]))",,,,30-05-2024 22:28:43,30-05-2024 22:28:44,1.115s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:44,30-05-2024 22:28:44,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesById,,,,30-05-2024 22:28:44,30-05-2024 22:28:45,0.285s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""swarm-yes""]))",,,,30-05-2024 22:28:44,30-05-2024 22:28:45,0.250s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:45,30-05-2024 22:28:45,0.003s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesByName,,,,30-05-2024 22:28:45,30-05-2024 22:28:45,0.214s,PASSED
