Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,30-05-2024 22:28:35,30-05-2024 22:28:50,15.278s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,30-05-2024 22:28:35,30-05-2024 22:28:38,2.792s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,30-05-2024 22:28:35,30-05-2024 22:28:38,2.461s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:38,30-05-2024 22:28:38,0.042s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,30-05-2024 22:28:38,30-05-2024 22:28:38,0.463s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,30-05-2024 22:28:38,30-05-2024 22:28:38,0.339s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:38,30-05-2024 22:28:38,0.004s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,30-05-2024 22:28:38,30-05-2024 22:28:38,0.386s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,30-05-2024 22:28:38,30-05-2024 22:28:38,0.298s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:38,30-05-2024 22:28:38,0.004s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,30-05-2024 22:28:38,30-05-2024 22:28:39,0.302s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,30-05-2024 22:28:39,30-05-2024 22:28:39,0.221s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:39,30-05-2024 22:28:39,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,30-05-2024 22:28:39,30-05-2024 22:28:39,0.503s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,30-05-2024 22:28:39,30-05-2024 22:28:39,0.381s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:39,30-05-2024 22:28:39,0.004s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,30-05-2024 22:28:39,30-05-2024 22:28:40,0.254s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,30-05-2024 22:28:39,30-05-2024 22:28:40,0.191s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:40,30-05-2024 22:28:40,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,30-05-2024 22:28:40,30-05-2024 22:28:40,0.345s,PASSED
