Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KBB Home,,,,23-05-2024 23:53:01,23-05-2024 23:53:03,1.739s,FAILED
,,,,,,,
Test Cases/KBB Articles,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.021s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.006s,FAILED
,,,,,,,
Test Cases/KBB Best Car,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.017s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.005s,FAILED
,,,,,,,
Test Cases/KBB Car 4 Sale,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.015s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.004s,FAILED
,,,,,,,
Test Cases/KBB Feature Content,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.016s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.005s,FAILED
,,,,,,,
Test Cases/KBB Footer,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.016s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.005s,FAILED
,,,,,,,
Test Cases/KBB Header,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.013s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.005s,FAILED
,,,,,,,
Test Cases/KBB Motorscycles,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.012s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.004s,FAILED
,,,,,,,
Test Cases/KBB New Car By Make,,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.012s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:02,23-05-2024 23:53:02,0.004s,FAILED
,,,,,,,
Test Cases/KBB Open page,,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.010s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.003s,FAILED
,,,,,,,
Test Cases/KBB Owners Button,,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.012s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.004s,FAILED
,,,,,,,
Test Cases/KBB Shop Smart Section,,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.014s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.005s,FAILED
,,,,,,,
Test Cases/KBB Your Car Guide,,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.010s,FAILED
"openBrowser("""")",,,,23-05-2024 23:53:03,23-05-2024 23:53:03,0.003s,FAILED
