Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KBB Home,Chrome 124.0.0.0,,,23-05-2024 23:58:03,24-05-2024 00:00:16,2m - 12.596s,PASSED
,,,,,,,
Test Cases/KBB Articles,Chrome 124.0.0.0,,,23-05-2024 23:58:03,23-05-2024 23:58:14,11.084s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 23:58:03,23-05-2024 23:58:05,1.197s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 124.0.0.0,,,23-05-2024 23:58:05,23-05-2024 23:58:13,8.042s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_The Latest from Our ExpertsMore article_d3a796""), 0)",Chrome 124.0.0.0,,,23-05-2024 23:58:13,23-05-2024 23:58:14,1.526s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 23:58:14,23-05-2024 23:58:14,0.131s,PASSED
,,,,,,,
Test Cases/KBB Best Car,Chrome 124.0.0.0,,,23-05-2024 23:58:14,23-05-2024 23:58:25,10.639s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 23:58:14,23-05-2024 23:58:15,0.595s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 124.0.0.0,,,23-05-2024 23:58:15,23-05-2024 23:58:23,8.352s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_Shop Best CarsSponsored2024 Honda Prolo_b0e4cf""), 0)",Chrome 124.0.0.0,,,23-05-2024 23:58:23,23-05-2024 23:58:25,1.503s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 23:58:25,23-05-2024 23:58:25,0.113s,PASSED
,,,,,,,
Test Cases/KBB Car 4 Sale,Chrome 124.0.0.0,,,23-05-2024 23:58:25,23-05-2024 23:58:35,9.674s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 23:58:25,23-05-2024 23:58:26,0.499s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 124.0.0.0,,,23-05-2024 23:58:26,23-05-2024 23:58:31,5.126s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_Search Cars for SaleCheck out cars near_c464ea""), 0)",Chrome 124.0.0.0,,,23-05-2024 23:58:31,23-05-2024 23:58:35,3.887s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 23:58:35,23-05-2024 23:58:35,0.112s,PASSED
,,,,,,,
Test Cases/KBB Feature Content,Chrome 124.0.0.0,,,23-05-2024 23:58:35,23-05-2024 23:58:45,10.347s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 23:58:35,23-05-2024 23:58:35,0.608s,PASSED
"navigateToUrl(""https://www.kbb.com/"")",Chrome 124.0.0.0,,,23-05-2024 23:58:35,23-05-2024 23:58:40,4.512s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_Featured Content2024 Ford F150 Super Ca_86f03b""))",Chrome 124.0.0.0,,,23-05-2024 23:58:40,23-05-2024 23:58:44,4.118s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_Featured Content2024 Ford F150 Super Ca_80d5f7""), 0)",Chrome 124.0.0.0,,,23-05-2024 23:58:44,23-05-2024 23:58:45,0.683s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Kelley Blue Book  New and Used Car Pri_e90311/div_Featured Content2024 Ford F150 Super Ca_80d5f7""), 0)",Chrome 124.0.0.0,,,23-05-2024 23:58:45,23-05-2024 23:58:45,0.253s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 23:58:45,23-05-2024 23:58:45,0.122s,PASSED
,,,,,,,
Test Cases/KBB Footer,Chrome 124.0.0.0,,,23-05-2024 23:58:45,23-05-2024 23:59:00,14.916s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 23:58:45,23-05-2024 23:58:46,0.546s,PASSED
