Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,27-05-2024 17:14:41,27-05-2024 17:15:44,1m - 2.463s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,27-05-2024 17:14:42,27-05-2024 17:14:43,1.766s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,27-05-2024 17:14:42,27-05-2024 17:14:43,1.463s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:43,27-05-2024 17:14:43,0.016s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,27-05-2024 17:14:43,27-05-2024 17:14:45,1.279s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,27-05-2024 17:14:43,27-05-2024 17:14:45,1.234s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:45,27-05-2024 17:14:45,0.002s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,27-05-2024 17:14:45,27-05-2024 17:14:46,1.195s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,27-05-2024 17:14:45,27-05-2024 17:14:46,1.164s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:46,27-05-2024 17:14:46,0.003s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,27-05-2024 17:14:46,27-05-2024 17:14:46,0.303s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,27-05-2024 17:14:46,27-05-2024 17:14:46,0.274s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:46,27-05-2024 17:14:46,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,27-05-2024 17:14:46,27-05-2024 17:14:47,1.231s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,27-05-2024 17:14:46,27-05-2024 17:14:47,1.198s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:47,27-05-2024 17:14:47,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,27-05-2024 17:14:47,27-05-2024 17:14:48,0.771s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,27-05-2024 17:14:47,27-05-2024 17:14:48,0.737s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:48,27-05-2024 17:14:48,0.004s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,27-05-2024 17:14:48,27-05-2024 17:14:49,0.476s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,27-05-2024 17:14:48,27-05-2024 17:14:49,0.447s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:49,27-05-2024 17:14:49,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,27-05-2024 17:14:49,27-05-2024 17:14:50,1.197s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,27-05-2024 17:14:49,27-05-2024 17:14:50,1.172s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:50,27-05-2024 17:14:50,0.003s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,27-05-2024 17:14:50,27-05-2024 17:14:50,0.424s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,27-05-2024 17:14:50,27-05-2024 17:14:50,0.393s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:14:50,27-05-2024 17:14:50,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,27-05-2024 17:14:50,27-05-2024 17:14:51,1.160s,PASSED
