Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,30-05-2024 14:51:02,30-05-2024 14:52:03,1m - 1.396s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,30-05-2024 14:51:02,30-05-2024 14:51:06,4.302s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,30-05-2024 14:51:02,30-05-2024 14:51:06,3.984s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:06,30-05-2024 14:51:06,0.013s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,30-05-2024 14:51:06,30-05-2024 14:51:08,1.360s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,30-05-2024 14:51:06,30-05-2024 14:51:08,1.313s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:08,30-05-2024 14:51:08,0.004s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,30-05-2024 14:51:08,30-05-2024 14:51:08,0.359s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,30-05-2024 14:51:08,30-05-2024 14:51:08,0.318s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:08,30-05-2024 14:51:08,0.003s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,30-05-2024 14:51:08,30-05-2024 14:51:08,0.325s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,30-05-2024 14:51:08,30-05-2024 14:51:08,0.285s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:08,30-05-2024 14:51:08,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,30-05-2024 14:51:08,30-05-2024 14:51:10,1.731s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,30-05-2024 14:51:08,30-05-2024 14:51:10,1.697s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:10,30-05-2024 14:51:10,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,30-05-2024 14:51:10,30-05-2024 14:51:12,1.592s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,30-05-2024 14:51:10,30-05-2024 14:51:12,1.555s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:12,30-05-2024 14:51:12,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,30-05-2024 14:51:12,30-05-2024 14:51:13,1.692s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,30-05-2024 14:51:12,30-05-2024 14:51:13,1.657s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:13,30-05-2024 14:51:13,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,30-05-2024 14:51:13,30-05-2024 14:51:15,1.293s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,30-05-2024 14:51:13,30-05-2024 14:51:15,1.244s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:15,30-05-2024 14:51:15,0.002s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,30-05-2024 14:51:15,30-05-2024 14:51:15,0.215s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,30-05-2024 14:51:15,30-05-2024 14:51:15,0.185s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:15,30-05-2024 14:51:15,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,30-05-2024 14:51:15,30-05-2024 14:51:15,0.552s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""1""]))",,,,30-05-2024 14:51:15,30-05-2024 14:51:15,0.519s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:15,30-05-2024 14:51:15,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesByName,,,,30-05-2024 14:51:15,30-05-2024 14:51:16,0.564s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""cool""]))",,,,30-05-2024 14:51:15,30-05-2024 14:51:16,0.529s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:16,30-05-2024 14:51:16,0.002s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupById,,,,30-05-2024 14:51:16,30-05-2024 14:51:16,0.484s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""monster""]))",,,,30-05-2024 14:51:16,30-05-2024 14:51:16,0.459s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:16,30-05-2024 14:51:16,0.002s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupByName,,,,30-05-2024 14:51:16,30-05-2024 14:51:18,1.652s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""1""]))",,,,30-05-2024 14:51:17,30-05-2024 14:51:18,1.616s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:18,30-05-2024 14:51:18,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesById,,,,30-05-2024 14:51:18,30-05-2024 14:51:19,0.617s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""swarm-yes""]))",,,,30-05-2024 14:51:18,30-05-2024 14:51:19,0.590s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:19,30-05-2024 14:51:19,0.003s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesByName,,,,30-05-2024 14:51:19,30-05-2024 14:51:20,1.270s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""1""]))",,,,30-05-2024 14:51:19,30-05-2024 14:51:20,1.243s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:20,30-05-2024 14:51:20,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionById,,,,30-05-2024 14:51:20,30-05-2024 14:51:21,0.467s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterCondition"", [""id"":""1""]))",,,,30-05-2024 14:51:20,30-05-2024 14:51:21,0.438s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:21,30-05-2024 14:51:21,0.003s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionByName,,,,30-05-2024 14:51:21,30-05-2024 14:51:22,1.810s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterCondition"", [""id"":""swarm""]))",,,,30-05-2024 14:51:21,30-05-2024 14:51:22,1.784s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:22,30-05-2024 14:51:22,0.004s,PASSED
,,,,,,,
Test Cases/API/getEncouterMethodById,,,,30-05-2024 14:51:22,30-05-2024 14:51:25,2.377s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterMethod"", [""id"":""1""]))",,,,30-05-2024 14:51:22,30-05-2024 14:51:25,2.352s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 14:51:25,30-05-2024 14:51:25,0.004s,PASSED
,,,,,,,
Test Cases/API/getEncouterMethodByName,,,,30-05-2024 14:51:25,30-05-2024 14:51:26,1.606s,PASSED
