Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,27-05-2024 17:39:00,27-05-2024 17:39:22,21.741s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,27-05-2024 17:39:01,27-05-2024 17:39:04,3.215s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,27-05-2024 17:39:01,27-05-2024 17:39:04,2.888s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:04,27-05-2024 17:39:04,0.014s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,27-05-2024 17:39:04,27-05-2024 17:39:04,0.255s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,27-05-2024 17:39:04,27-05-2024 17:39:04,0.183s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:04,27-05-2024 17:39:04,0.005s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,27-05-2024 17:39:04,27-05-2024 17:39:04,0.292s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,27-05-2024 17:39:04,27-05-2024 17:39:04,0.236s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:04,27-05-2024 17:39:04,0.003s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,27-05-2024 17:39:04,27-05-2024 17:39:05,0.430s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,27-05-2024 17:39:04,27-05-2024 17:39:05,0.399s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.235s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.187s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.004s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.223s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.169s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.225s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.178s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:05,27-05-2024 17:39:05,0.004s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,27-05-2024 17:39:05,27-05-2024 17:39:06,0.273s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,27-05-2024 17:39:05,27-05-2024 17:39:06,0.240s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:06,27-05-2024 17:39:06,0.003s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,27-05-2024 17:39:06,27-05-2024 17:39:06,0.248s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,27-05-2024 17:39:06,27-05-2024 17:39:06,0.210s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:06,27-05-2024 17:39:06,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,27-05-2024 17:39:06,27-05-2024 17:39:07,1.172s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""1""]))",,,,27-05-2024 17:39:06,27-05-2024 17:39:07,1.138s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:07,27-05-2024 17:39:07,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesByName,,,,27-05-2024 17:39:07,27-05-2024 17:39:07,0.193s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""cool""]))",,,,27-05-2024 17:39:07,27-05-2024 17:39:07,0.167s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:07,27-05-2024 17:39:07,0.001s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupById,,,,27-05-2024 17:39:07,27-05-2024 17:39:08,0.192s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""monster""]))",,,,27-05-2024 17:39:07,27-05-2024 17:39:08,0.164s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:08,27-05-2024 17:39:08,0.002s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupByName,,,,27-05-2024 17:39:08,27-05-2024 17:39:09,1.239s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""1""]))",,,,27-05-2024 17:39:08,27-05-2024 17:39:09,1.182s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesById,,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.187s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""swarm-yes""]))",,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.157s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesByName,,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.225s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""1""]))",,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.201s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionById,,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.182s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterCondition"", [""id"":""1""]))",,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.155s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:39:09,27-05-2024 17:39:09,0.002s,PASSED
,,,,,,,
