Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,25-05-2024 11:41:12,25-05-2024 11:41:42,29.288s,FAILED
,,,,,,,
Test Cases/API/getAbilityById,,,,25-05-2024 11:41:12,25-05-2024 11:41:14,1.468s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,25-05-2024 11:41:13,25-05-2024 11:41:14,1.265s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:41:14,25-05-2024 11:41:14,0.019s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,25-05-2024 11:41:14,25-05-2024 11:41:15,1.181s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,25-05-2024 11:41:14,25-05-2024 11:41:15,1.125s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:41:15,25-05-2024 11:41:15,0.003s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,25-05-2024 11:41:15,25-05-2024 11:41:16,0.464s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,25-05-2024 11:41:15,25-05-2024 11:41:15,0.422s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:41:15,25-05-2024 11:41:16,0.002s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,25-05-2024 11:41:16,25-05-2024 11:41:16,0.185s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,25-05-2024 11:41:16,25-05-2024 11:41:16,0.145s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:41:16,25-05-2024 11:41:16,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,25-05-2024 11:41:16,25-05-2024 11:41:16,0.051s,FAILED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,25-05-2024 11:41:16,25-05-2024 11:41:16,0.039s,FAILED
,,,,,,,
Test Cases/API/getBerryByName,,,,25-05-2024 11:41:16,25-05-2024 11:41:16,0.053s,FAILED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,25-05-2024 11:41:16,25-05-2024 11:41:16,0.042s,FAILED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,25-05-2024 11:41:16,25-05-2024 11:41:18,1.431s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,25-05-2024 11:41:16,25-05-2024 11:41:18,1.389s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:41:18,25-05-2024 11:41:18,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,25-05-2024 11:41:18,25-05-2024 11:41:18,0.733s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,25-05-2024 11:41:18,25-05-2024 11:41:18,0.683s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:41:18,25-05-2024 11:41:18,0.001s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,25-05-2024 11:41:18,25-05-2024 11:41:19,0.449s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,25-05-2024 11:41:18,25-05-2024 11:41:19,0.415s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:41:19,25-05-2024 11:41:19,0.001s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,25-05-2024 11:41:19,25-05-2024 11:41:19,0.434s,PASSED
