Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,30-05-2024 15:07:06,30-05-2024 15:07:46,39.512s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,30-05-2024 15:07:07,30-05-2024 15:07:09,2.457s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,30-05-2024 15:07:07,30-05-2024 15:07:09,2.059s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:09,30-05-2024 15:07:09,0.030s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,30-05-2024 15:07:09,30-05-2024 15:07:10,1.358s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,30-05-2024 15:07:09,30-05-2024 15:07:10,1.272s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:10,30-05-2024 15:07:10,0.002s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,30-05-2024 15:07:10,30-05-2024 15:07:11,0.227s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,30-05-2024 15:07:10,30-05-2024 15:07:11,0.178s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.004s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.211s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.172s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.342s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.306s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.231s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.202s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:11,30-05-2024 15:07:11,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,30-05-2024 15:07:11,30-05-2024 15:07:12,0.204s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,30-05-2024 15:07:11,30-05-2024 15:07:12,0.169s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:12,30-05-2024 15:07:12,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,30-05-2024 15:07:12,30-05-2024 15:07:13,1.561s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,30-05-2024 15:07:12,30-05-2024 15:07:13,1.522s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:13,30-05-2024 15:07:13,0.002s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,30-05-2024 15:07:13,30-05-2024 15:07:13,0.236s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,30-05-2024 15:07:13,30-05-2024 15:07:13,0.202s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:13,30-05-2024 15:07:13,0.001s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,30-05-2024 15:07:13,30-05-2024 15:07:15,1.196s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""1""]))",,,,30-05-2024 15:07:13,30-05-2024 15:07:15,1.160s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:15,30-05-2024 15:07:15,0.003s,PASSED
,,,,,,,
Test Cases/API/getContestTypesByName,,,,30-05-2024 15:07:15,30-05-2024 15:07:16,1.535s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""cool""]))",,,,30-05-2024 15:07:15,30-05-2024 15:07:16,1.501s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:16,30-05-2024 15:07:16,0.001s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupById,,,,30-05-2024 15:07:16,30-05-2024 15:07:17,1.331s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""monster""]))",,,,30-05-2024 15:07:16,30-05-2024 15:07:17,1.300s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:17,30-05-2024 15:07:17,0.003s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupByName,,,,30-05-2024 15:07:17,30-05-2024 15:07:18,0.273s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""1""]))",,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.218s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesById,,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.240s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""swarm-yes""]))",,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.211s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesByName,,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.196s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""1""]))",,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.164s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:18,30-05-2024 15:07:18,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionById,,,,30-05-2024 15:07:18,30-05-2024 15:07:20,1.947s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterCondition"", [""id"":""1""]))",,,,30-05-2024 15:07:18,30-05-2024 15:07:20,1.916s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:20,30-05-2024 15:07:20,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionByName,,,,30-05-2024 15:07:20,30-05-2024 15:07:21,0.536s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterCondition"", [""id"":""swarm""]))",,,,30-05-2024 15:07:20,30-05-2024 15:07:21,0.496s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:21,30-05-2024 15:07:21,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncouterMethodById,,,,30-05-2024 15:07:21,30-05-2024 15:07:22,1.808s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterMethod"", [""id"":""1""]))",,,,30-05-2024 15:07:21,30-05-2024 15:07:22,1.779s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:22,30-05-2024 15:07:22,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncouterMethodByName,,,,30-05-2024 15:07:23,30-05-2024 15:07:24,1.248s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterMethod"", [""id"":""walk""]))",,,,30-05-2024 15:07:23,30-05-2024 15:07:24,1.220s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 15:07:24,30-05-2024 15:07:24,0.003s,PASSED
