Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,27-05-2024 17:28:33,27-05-2024 17:29:03,30.521s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,27-05-2024 17:28:33,27-05-2024 17:28:34,1.491s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,27-05-2024 17:28:33,27-05-2024 17:28:34,1.236s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:34,27-05-2024 17:28:34,0.016s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,27-05-2024 17:28:34,27-05-2024 17:28:35,1.159s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,27-05-2024 17:28:34,27-05-2024 17:28:35,1.116s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:35,27-05-2024 17:28:35,0.003s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,27-05-2024 17:28:35,27-05-2024 17:28:36,0.266s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,27-05-2024 17:28:35,27-05-2024 17:28:36,0.228s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:36,27-05-2024 17:28:36,0.005s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,27-05-2024 17:28:36,27-05-2024 17:28:37,1.187s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,27-05-2024 17:28:36,27-05-2024 17:28:37,1.155s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:37,27-05-2024 17:28:37,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,27-05-2024 17:28:37,27-05-2024 17:28:37,0.459s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,27-05-2024 17:28:37,27-05-2024 17:28:37,0.423s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:37,27-05-2024 17:28:37,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,27-05-2024 17:28:37,27-05-2024 17:28:38,0.229s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,27-05-2024 17:28:37,27-05-2024 17:28:38,0.204s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:38,27-05-2024 17:28:38,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,27-05-2024 17:28:38,27-05-2024 17:28:38,0.184s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,27-05-2024 17:28:38,27-05-2024 17:28:38,0.150s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:38,27-05-2024 17:28:38,0.001s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,27-05-2024 17:28:38,27-05-2024 17:28:38,0.300s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,27-05-2024 17:28:38,27-05-2024 17:28:38,0.273s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:38,27-05-2024 17:28:38,0.002s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,27-05-2024 17:28:38,27-05-2024 17:28:39,1.158s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,27-05-2024 17:28:38,27-05-2024 17:28:39,1.134s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:39,27-05-2024 17:28:39,0.003s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,27-05-2024 17:28:39,27-05-2024 17:28:39,0.248s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""1""]))",,,,27-05-2024 17:28:39,27-05-2024 17:28:39,0.211s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:39,27-05-2024 17:28:39,0.001s,PASSED
,,,,,,,
Test Cases/API/getContestTypesByName,,,,27-05-2024 17:28:39,27-05-2024 17:28:41,1.170s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""cool""]))",,,,27-05-2024 17:28:39,27-05-2024 17:28:41,1.117s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:41,27-05-2024 17:28:41,0.003s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupById,,,,27-05-2024 17:28:41,27-05-2024 17:28:42,1.125s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""monster""]))",,,,27-05-2024 17:28:41,27-05-2024 17:28:42,1.082s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:42,27-05-2024 17:28:42,0.004s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupByName,,,,27-05-2024 17:28:42,27-05-2024 17:28:43,1.218s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""1""]))",,,,27-05-2024 17:28:42,27-05-2024 17:28:43,1.163s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:43,27-05-2024 17:28:43,0.003s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesById,,,,27-05-2024 17:28:43,27-05-2024 17:28:43,0.207s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""swarm-yes""]))",,,,27-05-2024 17:28:43,27-05-2024 17:28:43,0.167s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:43,27-05-2024 17:28:43,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesByName,,,,27-05-2024 17:28:43,27-05-2024 17:28:44,0.478s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""1""]))",,,,27-05-2024 17:28:43,27-05-2024 17:28:44,0.443s,PASSED
"verifyResponseStatusCode(response, 200)",,,,27-05-2024 17:28:44,27-05-2024 17:28:44,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionById,,,,27-05-2024 17:28:44,27-05-2024 17:28:45,1.161s,PASSED
