Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,30-05-2024 22:28:31,30-05-2024 22:28:50,19.433s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,30-05-2024 22:28:31,30-05-2024 22:28:34,2.747s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,30-05-2024 22:28:31,30-05-2024 22:28:34,2.391s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:34,30-05-2024 22:28:34,0.046s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,30-05-2024 22:28:34,30-05-2024 22:28:34,0.563s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,30-05-2024 22:28:34,30-05-2024 22:28:34,0.422s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:34,30-05-2024 22:28:34,0.004s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,30-05-2024 22:28:34,30-05-2024 22:28:35,1.288s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,30-05-2024 22:28:34,30-05-2024 22:28:35,1.198s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:35,30-05-2024 22:28:35,0.003s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,30-05-2024 22:28:35,30-05-2024 22:28:36,0.305s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,30-05-2024 22:28:36,30-05-2024 22:28:36,0.222s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:36,30-05-2024 22:28:36,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,30-05-2024 22:28:36,30-05-2024 22:28:36,0.410s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,30-05-2024 22:28:36,30-05-2024 22:28:36,0.326s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:36,30-05-2024 22:28:36,0.004s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,30-05-2024 22:28:36,30-05-2024 22:28:37,0.545s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,30-05-2024 22:28:36,30-05-2024 22:28:37,0.463s,PASSED
"verifyResponseStatusCode(response, 200)",,,,30-05-2024 22:28:37,30-05-2024 22:28:37,0.004s,PASSED
,,,,,,,
